idiom,count
et al.,56
drop in the ocean,42
kick the bucket,42
on cloud nine,42
give up the ghost,28
nobody's perfect,28
in the twinkling of an eye,28
cream of the crop,28
tip the scales,28
"buy the rumor, sell the news",28
get wind of,28
hem and haw,28
and so on,28
fall to pieces,28
by virtue of,28
haste makes waste,28
in broad daylight,28
refrigerator mother,28
rain cats and dogs,28
pull strings,28
call it a day,28
eat humble pie,28
seeing is believing,28
hippity hoppity get off my property,28
"not my circus, not my monkeys",28
rob Peter to pay Paul,28
take the piss,28
show one's true stripes,28
bite off more than one can chew,28
back to square one,28
once in a blue moon,28
foam at the mouth,28
look on the bright side,28
roll of the dice,28
take it easy,28
until the cows come home,28
bite the bullet,28
popularity contest,28
bring home the bacon,28
checks and balances,28
tip of the iceberg,28
I beg your pardon,28
it takes two to tango,28
pin down,28
dog and pony show,28
to hell and back,28
two wrongs don't make a right,28
for goodness' sake,28
throw in the towel,28
in the same boat,28
have other fish to fry,28
water under the bridge,28
in the long run,28
or something,28
go over someone's head,28
go up in smoke,28
in the red,28
phrasal verb,28
sour grapes,28
say again,28
get off the ground,28
fall into the wrong hands,28
blind alley,28
for once,28
quick on the uptake,28
gravy train,28
thrash out,28
fit in,28
yardarm to yardarm,28
get even,28
stand one's ground,28
catch someone napping,28
and the like,28
stand on the shoulders of giants,28
stumble upon,28
on one's high horse,28
may the Force be with you,28
that's what I'm talking about,28
when pigs fly,28
in the blink of an eye,28
take at face value,28
"Ready, set, go",28
keep a cool head,28
closing time,28
from the get-go,28
a good deal,28
give someone what for,28
a great deal,28
all cats are grey in the dark,28
peanut gallery,28
the plot thickens,28
sell down the river,28
unconscious,28
bite the dust,28
power lunch,28
go with the flow,28
at arm's length,28
make tracks,28
come back to bite,28
silver screen,28
hair of the dog,28
one-night stand,28
lose one's head,28
in no time,28
Bob's your uncle,28
neck and neck,28
handle with kid gloves,28
on the face of it,28
excuse me,28
pissed off,28
fuck you,28
spin one's wheels,28
frown on,28
yours truly,28
flog a dead horse,28
get one's feet wet,28
how come,28
in bed with,28
all hat and no cattle,28
jump out of one's skin,28
the sky is falling,28
daisy chain,28
off the beaten track,28
all hell breaks loose,28
every man for himself,28
come in from the cold,28
tickled pink,28
break the ice,28
bon appétit,28
clip someone's wings,28
make it interesting,28
put one's shoulder to the wheel,28
in this day and age,28
gut it out,28
put down,28
knock on heaven's door,28
Rome wasn't built in a day,28
make hay while the sun shines,28
game plan,28
through thick and thin,28
shoot oneself in the foot,28
by any stretch of the imagination,28
the pot calling the kettle black,28
from A to Z,28
biological clock,28
pope's nose,14
porcelain skin,14
poster boy,14
potty mouth,14
postage stamp,14
pork up,14
potter's clay,14
poor power,14
poor man's shilling,14
potato chaser,14
port of call,14
pour down the drain,14
posse comitatus,14
poor little rich girl,14
pop up,14
poor little rich boy,14
possession is nine-tenths of the law,14
poor as a church mouse,14
pop the cherry,14
post mortem,14
pop someone's cherry,14
pound of flesh,14
pound a beat,14
poster girl,14
pot boiler,14
pop smoke,14
¿Por qué no los dos?,14
popcorn movie,14
pound sand,14
porcelain doll,14
porcelain god,14
pound the pavement,14
pound the table,14
pop one's wad,14
pound town,14
pop one's cork,14
pop in,14
poster child,14
porcelain goddess,14
pop the question,14
poke someone's eye out,14
poophole loophole,14
play with fire,14
play the same tape,14
play the X card,14
play the victim card,14
play the wag,14
play to the gallery,14
play to win,14
play up,14
play well with others,14
play with a full deck,14
play with house money,14
poop machine,14
playing field,14
Please Excuse My Dear Aunt Sally,14
please find attached,14
please help me,14
please repeat after me,14
please say that again,14
please sit down,14
please speak more slowly,14
please turn left,14
play the race card,14
play the ponies,14
"play the man, not the ball",14
play the hand one is dealt,14
play on words,14
play one against another,14
play one's cards right,14
play or pay,14
play politics,14
play possum,14
play second fiddle,14
play silly buggers,14
play small,14
play someone like a fiddle,14
play someone like a violin,14
"play stupid games, win stupid prizes",14
play the Nazi card,14
play the angles,14
play the ball and not the man,14
play the devil with,14
play the field,14
play the fool,14
play the gender card,14
please turn right,14
please yourself,14
pleased to meet you,14
point of departure,14
point out,14
point the finger at,14
point up,14
poisoned chalice,14
poke holes in,14
poke the bear,14
pole star,14
poles apart,14
police lives matter,14
polish a turd,14
polish off,14
polish up,14
polite fiction,14
political football,14
politically correct,14
pond scum,14
pony in the barn,14
poop factory,14
poop in one's pants,14
point of no return,14
point fingers,14
pleased with oneself,14
point-blank,14
pleasure oneself,14
plough a lonely furrow,14
plough money into,14
plough one's way,14
plow the back forty,14
plough through,14
plow on,14
plow the sands,14
plow with one's heifer,14
plug in,14
plug into,14
plumber's helper,14
plunge in,14
"plus ça change, plus c'est la même chose",14
poacher turned gamekeeper,14
pocket dial,14
pocket veto,14
poetry in motion,14
pogi points,14
pour encourager les autres,14
'ark at 'ee,14
pour honey in one's ear,14
pull up your pants,14
pull the rug out from under,14
pull the shutters down,14
pull the trigger,14
pull the wool over someone's eyes,14
pull to pieces,14
pull up,14
pull up on,14
pull up stakes,14
pull up stumps,14
pulling power,14
pull the ladder up behind oneself,14
pulling the plug,14
pump out,14
pump someone's tires,14
pump up,14
pumpkin head,14
punch above one's weight,14
punch below one's weight,14
punch someone's lights out,14
punch someone's ticket,14
pull my leg,14
pull teeth,14
pull an all-nighter,14
pull one's socks up,14
pull away,14
pull back the curtain,14
pull faces,14
pull for,14
pull in,14
pull in one's horns,14
pull off,14
pull one's finger out,14
pull one's head in,14
pull one's weight,14
pull someone's leg,14
pull oneself together,14
pull oneself up by one's bootstraps,14
pull out,14
pull out all the stops,14
pull out of one's ass,14
pull out of the fire,14
pull a rabbit out of the hat,14
pull over,14
pull punches,14
punching bag,14
punctum saliens,14
purple monkey dishwasher,14
put daylight between oneself and someone,14
put a slight upon,14
put a sock in it,14
put a stop to,14
put all one's eggs in one basket,14
put an end to,14
put the clocks back,14
put batteries in someone's back,14
put butter on one's bread,14
put by,14
put down as,14
push against an open door,14
put down for,14
put down roots,14
put down to,14
put facts on the ground,14
put food on the table,14
put foot to ass,14
put forward,14
put hair on someone's chest,14
put her there,14
put in a shift,14
put a lid on it,14
put a lid on,14
put a hat on a hat,14
push around,14
push away,14
push down,14
push in,14
push it,14
push on,14
push one's luck,14
push one's way,14
push the boat out,14
push the envelope,14
push through,14
push up daisies,14
push water uphill,14
put a band-aid on a bullet wound,14
put a blanket over,14
put a bug in someone's ear,14
put a damper on,14
put a foot wrong,14
put a gun to someone's head,14
pull apart,14
pull ahead,14
pour honey on,14
press on,14
preach to the choir,14
preach water and drink wine,14
play on someone's heartstrings,14
prepositional verb,14
present company excepted,14
preserved in aspic,14
press F to pay respects,14
press down,14
press into service,14
press the flesh,14
preach to the desert,14
press the panic button,14
pressed for time,14
pressure cooker,14
pressure valve,14
pretty Polly,14
a pretty penny,14
pretty pictures,14
pretzel up,14
prevail upon,14
preach to deaf ears,14
prawn cocktail offensive,14
pull about,14
power grab,14
pour in,14
pour oil on troubled waters,14
pour one out,14
pour one's heart out,14
poverty is a state of mind,14
powder keg,14
powder magazine,14
power coffee,14
Power corrupts; absolute power corrupts absolutely,14
power luncher,14
praise with faint damns,14
power move,14
power of the pencil,14
power of the purse,14
the powers that be,14
practice makes perfect,14
practice makes progress,14
"practice, practice, practice",14
prairie dog,14
praise to the skies,14
prevention is better than cure,14
prey on,14
the price is right,14
pudding and tame,14
πρὸς τὸν καιρόν,14
protest too much,14
proud as a peacock,14
proverbs run in pairs,14
proving ground,14
psyched up,14
psychological warfare,14
public enemy number one,14
public purse,14
puddle jumper,14
What has that got to do with the price of eggs?,14
puddle up,14
puff up,14
"puff, puff, pass",14
puffed up,14
puke one's guts out,14
pull a face,14
pull a fast one,14
pull a lever,14
pull a rabbit out of a hat,14
prop up the bar,14
prop up the table,14
"promises, promises",14
promise the moon,14
price of tea in China,14
price on someone's head,14
price out,14
prim and proper,14
prime of life,14
prime the pump,14
prime time,14
primitive type,14
primordial soup,14
prison wall,14
private credit,14
private eye,14
pro re nata,14
pro tip,14
problem child,14
Procrastination is the thief of time,14
procure to pay,14
professional suicide,14
progressive love,14
prepare the ground,14
plant one's feet,14
play it straight,14
park and bark,14
palace politics,14
palate cleanser,14
pale in comparison,14
pale rider,14
palm off,14
pan out,14
pancakes and waffles,14
pandemonium architecture,14
paper cut,14
paper over,14
paper tiger,14
paper trail,14
in pari delicto,14
par for the course,14
the parade passed someone by,14
paradise on earth,14
parasol mushroom,14
parcel out,14
parcel up,14
pardon me,14
pardon my French,14
palace intrigue,14
paisa vasool,14
another pair of shoes,14
pain in the ass,14
pack shit,14
packed to the gills,14
packed to the rafters,14
packing for Perth,14
pact of silence,14
pacta sunt servanda,14
pad out,14
padded cell,14
paddle one's own canoe,14
pain in the neck,14
painting rocks,14
painful on the eyes,14
paint a rosy picture,14
paint by numbers,14
paint job,14
paint oneself into a corner,14
paint out,14
paint the town red,14
paint up,14
paint with a broad brush,14
pare down,14
park the bus,14
play it for all it's worth,14
parking lot,14
pass the river,14
pass the torch,14
pass under the yoke,14
pass up,14
passage of arms,14
paste up,14
pat on the back,14
patch up,14
patchwork quilt,14
path of least resistance,14
patience is a virtue,14
patience of Job,14
patience of Mother Teresa,14
patience of an angel,14
patient zero,14
patron saint,14
pave the cowpath,14
pave the road to hell,14
pave the way,14
pay a visit,14
pay attention,14
pass the hat,14
pass the buck,14
pass the bottle of smoke,14
party hearty,14
parlour game,14
parlour trick,14
part ways,14
parting of the ways,14
parting shot,14
party animal,14
party crasher,14
party cry,14
party hardy,14
party in one's mouth,14
pass the baton,14
party like it's 1999,14
party on,14
party to,14
pas de deux,14
pas devant les enfants,14
pass away,14
pass by,14
pass muster,14
pass on,14
pack one's bags,14
pack of lies,14
pack in,14
pack heat,14
out of play,14
out of pocket,14
out of proportion,14
out of reach,14
out of season,14
out of shape,14
out of sight,14
"out of sight, out of mind",14
out of someone's way,14
out of sorts,14
out of spoons,14
out of step,14
out of the blue,14
out of the box,14
out of the chute,14
out of the gate,14
out of the loop,14
out of the mouths of babes,14
out of the ordinary,14
out of the picture,14
out of the question,14
out of place,14
out of order,14
pay out of one's own pocket,14
out of house and home,14
out of bounds,14
out of central casting,14
out of character,14
out of collar,14
out of conceit with,14
out of date,14
out of fix,14
out of frame,14
out of gas,14
out of key,14
out of one's mind,14
out of kilter,14
out of line,14
out of luck,14
out of nowhere,14
out of one's box,14
out of one's depth,14
out of one's element,14
out of one's face,14
out of one's league,14
out of the running,14
speak out of the side of one's mouth,14
out of the way,14
over the moon,14
over and over again,14
over my dead body,14
over nine thousand,14
over one's skis,14
over the counter,14
over the hill,14
over the hills and far away,14
over the hump,14
over the line,14
over the river and through the woods,14
ovaries of steel,14
over the top,14
over the transom,14
overplay one's hand,14
overstep the mark,14
own goal,14
"own time, own target",14
the ox is in the ditch,14
oxygen burning,14
pack fudge,14
over a barrel,14
outside world,14
out of the woods,14
out on the tiles,14
out of thin air,14
out of this world,14
out of time,14
out of touch,14
out of tune,14
out of wedlock,14
out of whack,14
out on a limb,14
out on one's feet,14
out sick,14
think outside the box,14
out the window,14
out to get,14
out to lunch,14
out with it,14
out-paramour the Turk,14
outkick one's coverage,14
outpope the Pope,14
outrun the constable,14
outside chance,14
pay back,14
pay back in one's own coin,14
pay dearly,14
piece of the action,14
pipped to the post,14
pipe down,14
pipe dream,14
pipe in,14
pipe the eye,14
piping hot,14
piping times,14
piping times of peace,14
piss about,14
piss and moan,14
piss away,14
piss in someone's cornflakes,14
piss in the wind,14
piss like a racehorse,14
piss money up the wall,14
piss off,14
piss on,14
piss on someone's parade,14
piss oneself,14
piss proud,14
pissing war,14
pink ticket,14
pink tea,14
pink slip,14
pile on,14
piece of the puzzle,14
piece together,14
piffy on a rock bun,14
pig in a blanket,14
pig in a poke,14
pig pile,14
piggy bank,14
pile Pelion on Ossa,14
"pile it high, sell it cheap",14
pile up,14
ping pong,14
pill in the pocket,14
pill mill,14
pillow talk,14
pimp hand,14
pin a rose on your nose,14
pin money,14
take with a pinch of salt,14
pinch one off,14
pine away,14
pit against,14
pit bull,14
pit of despair,14
play first fiddle,14
play ball,14
play big,14
play booty,14
play both sides against the middle,14
play it by ear,14
play chicken,14
play down,14
play dumb,14
play fast and loose,14
play for love,14
play around,14
play for time,14
play games,14
play hard to get,14
play hardball,14
play hob with,14
play hooky,14
play in Peoria,14
play it cheap,14
play it cool,14
play back,14
play along,14
pit of the stomach,14
plain sailing,14
pit stop,14
pitch and toss,14
pitch in,14
pitfall and gin,14
pity fuck,14
pizza table,14
place in the sun,14
place of business,14
plain dealing,14
plait fog,14
play all one's cards,14
plant a seed,14
put in mind,14
plastic beauty,14
play Cupid,14
play Old Gooseberry,14
play Old Harry,14
play a double game,14
play a part,14
play a role,14
piece of the pie,14
you want a piece of me,14
pay dirt,14
