idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language
syn_a49f2eccbdfae061,drip the vibe,drip the vibe,,to subtly influence the mood or atmosphere,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_ffe43669227218e3,ghost the glow,ghost the glow,,to disappear without explanation from a social or romantic context,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_2356ae1b32cda903,ride the hush,ride the hush,,to maintain secrecy or keep quiet about something,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_2e9ccdeb148e6a28,flip the lock,flip the lock,,to change one's mindset suddenly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_770d9ced262c9a25,bounce the spark,bounce the spark,,to rekindle interest or energy in something,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_4a54b24786044158,ditch the grey,ditch the grey,,to avoid dullness or monotony,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_6748c125f705207e,toss a shadow,toss a shadow,,to create doubt or suspicion,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_1580842fbfb9efaf,buzz the drift,buzz the drift,,to spread gossip or informal news,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_9d9b5989683e14ee,press the crumb,press the crumb,,to investigate a small clue,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_ce803e5a40531fc5,snap the quiet,snap the quiet,,to break silence suddenly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_e590405646049327,hammer the drift,hammer the drift,,to emphasize the main point or idea,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_a6edb0c6aee32760,push the soft,push the soft,,to gently persuade or encourage someone,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_3900903a15f85e95,bend the hush,bend the hush,,to imply something secretly without saying it outright,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_a1bb78758a763bfa,drop the glow,drop the glow,,to end a positive or flattering impression,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_81d5d1ff08b98042,strike the cloud,strike the cloud,,to challenge a vague or uncertain situation,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_921535b8fe4208a7,hold the smoke,hold the smoke,,to keep mystery or secrecy,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_56e6519fcc403425,fold the mist,fold the mist,,to hide or obscure something deliberately,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_f063d1fb5918de7e,spin the cloak,spin the cloak,,to create a cover story or distraction,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_0728a6049b9546ac,trim the echo,trim the echo,,to reduce repeated or lingering effects,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_d9faec84bd49d73f,snap the breeze,snap the breeze,,to interrupt a casual conversation abruptly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_1a55585c8163c846,kick the drape,kick the drape,,to challenge established appearances or decorum,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_24d8b4043db6d8df,flip the hush,flip the hush,,to reveal a secret unexpectedly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_1b9e47e47e6e616c,climb the shadow,climb the shadow,,to explore or pursue unclear or secret matters,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_5e28b4655632fe59,rustle the calm,rustle the calm,,to disturb a peaceful atmosphere slightly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_70f7b9488763dc03,lace the storm,lace the storm,,to add complexity to an already tense situation,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_d2dc7a4e7d571302,wave the twist,wave the twist,,to signal a change in plans or expectations,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_fbc3f32deff53ef3,thread the vibe,thread the vibe,,to carefully influence the mood or emotion,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_e335266543068141,mark the flick,mark the flick,,to notice a quick movement or signal,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
