idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language,idiom_domain,idiom_register,slang_strength,regionality,generation_notes
syn_f67df7870d4a79a4,ghost scroll,ghost scroll,,Browsing social media content without interacting or leaving any trace.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,"Conveys the idea of invisibly moving through content like a ghost, reflecting passive consumption."
syn_ab81b58d2d6f2757,blue bubble bubble,blue bubble bubble,,"A private or exclusive conversation on social media, especially iMessage chats.",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,american,Plays on the iMessage blue bubbles symbolizing exclusivity and private chat.
syn_78fd1a4d1bb46ac6,meme mine,meme mine,,A repository or collection of memes amassed and treasured by a user.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,"'Mine' implies a rich source, figuratively mining memes for reuse or enjoyment."
syn_b56fb43ac997d7ed,ratio ripper,ratio ripper,,"A comment or post that deliberately overshadows or outperforms another, especially in likes or replies.",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,slang,strong,online_global,"Derives from 'ratio' battle on social media, combined with 'ripper' for impact."
syn_379fe42f4367cc95,clout clog,clout clog,,Excessive self-promotion or attention-seeking behavior that saturates one's social media presence.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,"'Clout' relates to social influence, 'clog' to blockage, suggesting overload."
syn_04a985d45749ce2d,flex echo,flex echo,,When a boast or brag on social media reverberates widely through shares and comments.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Combines 'flex' (show off) with 'echo' (reverberation) representing viral bragging.
syn_3bce53616375b0dd,link leash,link leash,,Being controlled or limited by the hyperlinks or references one shares online.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Figurative expression suggesting being tethered or restricted by shared content.
syn_0de68c23193c9c39,thread dive,thread dive,,To engage deeply and extensively in an online comment thread or discourse.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Metaphor for plunging into a complex or extended conversation thread.
syn_acd4bd8acc0b765b,profile shadow,profile shadow,,A lesser-known or hidden online identity that influences discussions indirectly.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,"Suggests an alternate persona lurking as a subtle influence, like a shadow."
syn_63177432bd27ae8b,digital dust-off,digital dust-off,,"Reviving an old post, photo, or account after a period of inactivity.",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Figurative 'dust-off' applied to bringing back digital content into the spotlight.
