idiom_id,example,idiom_canonical_meaning,source,record_origin,license_source,example_language,meaning_language,meaning_arabic_language
idiomx_011752,"It's a fascinating distinction, and one that also has the neat effect of moving the debate on from the contentious territory of the SF/litfic turfwar into that of value-neutral literary theory.",A fight or confrontation between two divisions or parties for access to resources or capital.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000009,"But in a political system, everything tends to be a yes-or-no decision; if 51 percent vote yes, it's yes.",A narrow or bare majority.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012519,"John, my ex-boyfriend, said he wanted to see me again, so I told him how much I wanted him in an effort to win him back.","To get (someone) to be one's partner, after having been apart.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_011602,"2016, Alexandra Petri, ComPost • Opinion (satire), The Washington Post. Obama: Merrick Garland is a beautiful cinnamon roll, too good for this world, too pure",Out of this world; of exceptionally high quality; wonderful; marvelous.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012395,,Asked to find out where a wounded or ill person is feeling pain.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000654,"1983 April 25, Steve Wozniak, letter to the editor, Infoworld, All kidding aside, I doubt we'll ever bomb Japan as long as [the Japanese] make Epson printers.",Used to attempt to state a serious point in a jocular conversation.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_009746,,Vegemite on toast.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_007906,,"In understanding or in the ability to absorb new information; especially in the phrases ""quick on the uptake"" and ""slow on the uptake"".",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012118,The continuous rain washed out the cricket match.,To cancel due to bad weather.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003234,,"To cease doing something, at least for the day.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012525,"The juror snorted. “That guy thought he won the lottery just because he was out of commission for 90 days. When he found out what his problem was, the first thing he did was go to his lawyer—not his doctor. Then he comes here and tries to tell us his sex life was worth $50,000 a day. No way. We didn't buy what he was selling.”",To experience an extraordinary or highly fortunate event.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
