idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language,source_file,idiom_domain,idiom_register,slang_strength,regionality,generation_notes
syn_a49f2eccbdfae061,drip the vibe,drip the vibe,,to subtly influence the mood or atmosphere,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_ffe43669227218e3,ghost the glow,ghost the glow,,to disappear without explanation from a social or romantic context,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_2356ae1b32cda903,ride the hush,ride the hush,,to maintain secrecy or keep quiet about something,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_2e9ccdeb148e6a28,flip the lock,flip the lock,,to change one's mindset suddenly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_770d9ced262c9a25,bounce the spark,bounce the spark,,to rekindle interest or energy in something,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_4a54b24786044158,ditch the grey,ditch the grey,,to avoid dullness or monotony,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_6748c125f705207e,toss a shadow,toss a shadow,,to create doubt or suspicion,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_1580842fbfb9efaf,buzz the drift,buzz the drift,,to spread gossip or informal news,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_9d9b5989683e14ee,press the crumb,press the crumb,,to investigate a small clue,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_ce803e5a40531fc5,snap the quiet,snap the quiet,,to break silence suddenly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
