idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence_score,record_origin,license_source,example_language,meaning_language
idiomx_000001,'ark at 'ee,'ark at 'ee,"‘Look at that water! No wonder Duddle said he wouldn’t dare take the raft down this way; it’s dreadful!’ / Togget pointed ahead. ‘Yurr oi think et wursens yonder, ’ark at ee roaren et makes!’",Listen to you; listen to yourself; listen to it.,kaikki_wiktionary,dictionary,phrase,informal,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000002,'fraid so,'fraid so,,I am afraid so,kaikki_wiktionary,dictionary,phrase,slang,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000003,'nuff said,'nuff said,"“Your new computer is super expensive!” “Yeah, but it rocks! ’Nuff said!”","Used either to end a discussion, or to imply that further discussion is not needed.",kaikki_wiktionary,dictionary,phrase,informal,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000004,'tis the season,'tis the season,"Anyway, ‛tis the season, and apropos of that and this particular evening's events, here we are.","Indicating that it is the time of year around Christmas, and that things associated with that time period are happening or likely to happen.",kaikki_wiktionary,dictionary,phrase,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000005,110 proof,110 proof,"1941 February 9, ""The 'Hated Hun'—Then and Now"", The New York Times, In those days a Hollywood hero had to be 110 proof....",Stronger than strong.,kaikki_wiktionary,dictionary,adj,"idiomatic, not-comparable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000006,11th commandment,11th commandment,"A “hood,” he said, isn’t necessarily a neighborhood, adding that the same culture is seen on Wall Street, “where the 11th commandment is ‘Thou shalt not get caught.’ ”",A well-known convention (often the most well-known of a certain field) which supposedly can not or should not be broken.,kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000007,12-ounce curls,12-ounce curls,Don't burn out your biceps with 12-ounce curls.,The activity of drinking beer.,kaikki_wiktionary,dictionary,noun,"idiomatic, plural, plural-only",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000008,23 skidoo,23 skidoo,"... the 'varsity quarter, who at the close of each meeting discards the conventional ""I move we adjourn, sir,'"" for the more modern ""23, skidoo.""","To leave, particularly quickly or at an advantageous time.",kaikki_wiktionary,dictionary,phrase,"US, archaic, idiomatic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000009,51 percent,51 percent,"But in a political system, everything tends to be a yes-or-no decision; if 51 percent vote yes, it's yes.",A narrow or bare majority.,kaikki_wiktionary,dictionary,noun,"US, idiomatic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000010,800-pound gorilla,800-pound gorilla,Q: Where does an 800-pound gorilla sleep? A: Wherever it wants!,An entity that dominates its environment.,kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000011,A for effort,A for effort,,"The effort of the attempt was admirable, even though the attempted action failed.",kaikki_wiktionary,dictionary,phrase,"humorous, often, sarcastic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000012,Adam and Eve,Adam and Eve,,A starting point; a set of ancestors or progenitors.,kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000013,"Adam and Eve, not Adam and Steve","Adam and Eve, not Adam and Steve","BIBLICAL fundamentalists often dismiss gay people by claiming that ""God made Adam and Eve, not Adam and Steve."" This remark is probably the full extent of fundamentalist repartee. About three years ago, I decided to take these hard-hearted folks at their words: What if God did make Adam and Steve, and the first lesbians as well, Jane and Mabel?",A phrase indicating the notion that only heterosexual relations are valid.,kaikki_wiktionary,dictionary,phrase,"derogatory, offensive",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000014,Adam's ale,Adam's ale,"[T]hey have beene ſhut up in priſons and dungeons lying on the cold ground, ſtones or boards without beds, ſtraw, fire or any the leaſt refreſhment; allowed onely a poore pittance of Adams''' Ale, and ſcarce a penny bread a day to ſupport their lives, though their friends would provide it for them; [...]",Water.,kaikki_wiktionary,dictionary,noun,"humorous, idiomatic, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000015,Affair Partner,Affair Partner,Many individuals in infidelity recovery forums refer to the third party as the affair partner.,A person with whom one is having an extramarital or unfaithful relationship; the third party in an affair.,kaikki_wiktionary,dictionary,noun,"euphemistic, idiomatic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000016,American Dream,American Dream,They are not racists or sick; they are not guilty of the crime that plagues the land. They are black and they are white —they're native born and foreign born—they're young and they're old. […] They give drive to the spirit of America. They give lift to the American Dream.,"The ideal stressing egalitarianism and that every citizen of the United States should have an equal opportunity to achieve material prosperity through hard work, determination, and initiative.",kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000017,April showers bring May flowers,April showers bring May flowers,,A period of discomfort or hardship can provide the basis for a period of happiness and joy.,kaikki_wiktionary,dictionary,proverb,"broadly, figuratively",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
