idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence_score,record_origin,license_source,example_language,meaning_language,idiom_canonical_meaning_arabic,is_idiom,ambiguity_flag,idiom_compositionality_level,idiom_register,idiom_domain,learner_difficulty,idiom_in_example,idiom_in_example_arabic,idiom_in_example_meaning_en,idiom_in_example_meaning_arabic,is_example_idiom,example_usage_label,is_generated_example,enrichment_model,enrichment_version,validation_status
idiomx_000002,'ark at 'ee,'ark at 'ee,,Listen to you; pay attention to what you say or what is being said.,kaikki_wiktionary,dictionary,phrase,slang,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,استمع إليك؛ انتبه لما تقوله أو ما يُقال.,True,semi_literal_possible,semi_opaque,informal,regional,hard,"‘ark at ee, that’s quite an idea you have!",'ark at ee، هذه فكرة رائعة لديك!,Listen to you; paying attention to your surprising idea.,استمع إليك؛ انتبه إلى فكرتك المفاجئة.,True,idiomatic,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
idiomx_000002,'ark at 'ee,'ark at 'ee,,Listen to you; pay attention to what you say or what is being said.,kaikki_wiktionary,dictionary,phrase,slang,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,استمع إليك؛ انتبه لما تقوله أو ما يُقال.,True,semi_literal_possible,semi_opaque,informal,regional,hard,"If you 'ark at ee closely, you can hear the leaves rustling.",إذا 'ark at ee جيدًا، يمكنك سماع أوراق الشجر تتحرك.,Listen carefully to the sounds of nature.,استمع بعناية لصوت الطبيعة.,True,idiomatic,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
idiomx_000002,'ark at 'ee,'ark at 'ee,,Listen to you; pay attention to what you say or what is being said.,kaikki_wiktionary,dictionary,phrase,slang,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,استمع إليك؛ انتبه لما تقوله أو ما يُقال.,True,semi_literal_possible,semi_opaque,informal,regional,hard,"She said, ‘’Ark at ’ee! I bet you haven’t thought about that.’",قالت: ‘‘Ark at ’ee! أراهن أنك لم تفكر في ذلك.’,"Pay attention to what you just said, which is insightful.",انتبه لما قلته للتو، فهو مهم.,True,idiomatic,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
idiomx_000002,'ark at 'ee,'ark at 'ee,,Listen to you; pay attention to what you say or what is being said.,kaikki_wiktionary,dictionary,phrase,slang,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,استمع إليك؛ انتبه لما تقوله أو ما يُقال.,True,semi_literal_possible,semi_opaque,informal,regional,hard,"‘Ark at ’ee!’ he exclaimed, surprised by the news.",صرخ: ‘‘Ark at ’ee!’ متفاجئًا من الأخبار.,Expressing disbelief and telling the other to listen to themselves.,يعبر عن عدم التصديق ويحث الآخر على الانتباه لكلامه.,True,idiomatic,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
idiomx_000002,'ark at 'ee,'ark at 'ee,,Listen to you; pay attention to what you say or what is being said.,kaikki_wiktionary,dictionary,phrase,slang,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,استمع إليك؛ انتبه لما تقوله أو ما يُقال.,True,semi_literal_possible,semi_opaque,informal,regional,hard,"The captain shouted, ‘Park at 'ee dock carefully!’",صرخ القبطان: ‘‘أركن القارب عند رصيف ’إي بعناية!’’,Literally instructing to park a boat at a specific dock named 'ee.,تعليمات حرفية لركن القارب عند رصيف محدد يُدعى ’إي.,False,literal,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
idiomx_000002,'ark at 'ee,'ark at 'ee,,Listen to you; pay attention to what you say or what is being said.,kaikki_wiktionary,dictionary,phrase,slang,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,استمع إليك؛ انتبه لما تقوله أو ما يُقال.,True,semi_literal_possible,semi_opaque,informal,regional,hard,"The child said, ‘I can ’ark at ’ee sound from the birds.’",قال الطفل: ‘‘أستطيع ’ark at ’ee صوت الطيور.’,Literally hear a sound coming from the birds.,يسمع حرفيًا الصوت الصادر من الطيور.,False,literal,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
idiomx_000002,'ark at 'ee,'ark at 'ee,,Listen to you; pay attention to what you say or what is being said.,kaikki_wiktionary,dictionary,phrase,slang,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,استمع إليك؛ انتبه لما تقوله أو ما يُقال.,True,semi_literal_possible,semi_opaque,informal,regional,hard,Farmers ’ark at ’ee cattle every morning during feeding time.,المزارعون ’ark at ’ee الماشية كل صباح أثناء وقت إطعامها.,Literally watch or listen carefully to the cattle.,يراقبون أو يستمعون بعناية للماشية فعليًا.,False,literal,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
idiomx_000002,'ark at 'ee,'ark at 'ee,,Listen to you; pay attention to what you say or what is being said.,kaikki_wiktionary,dictionary,phrase,slang,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,استمع إليك؛ انتبه لما تقوله أو ما يُقال.,True,semi_literal_possible,semi_opaque,informal,regional,hard,We ’ark at ’ee sound of the engine before the ship departs.,نحن ’ark at ’ee صوت المحرك قبل مغادرة السفينة.,Literally listen to the engine noise before departure.,نستمع حرفيًا لصوت المحرك قبل الانطلاق.,False,literal,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
idiomx_000003,'fraid so,'fraid so,"“Your new computer is super expensive!” “Yeah, but it rocks! ’Nuff said!”","Yes, I am afraid that is the case.",kaikki_wiktionary,dictionary,phrase,informal,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,نعم، أخشى أن هذا هو الحال.,True,semi_literal_possible,transparent,informal,general,easy,"I’m ’fraid so, the project deadline has been moved up to next week.",أنا أخشى ذلك، فقد تم تقديم موعد تسليم المشروع إلى الأسبوع القادم.,"Yes, unfortunately, that is correct (the deadline has been moved).",نعم، للأسف، هذا صحيح (تم تقديم الموعد النهائي).,True,idiomatic,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
idiomx_000003,'fraid so,'fraid so,"“Your new computer is super expensive!” “Yeah, but it rocks! ’Nuff said!”","Yes, I am afraid that is the case.",kaikki_wiktionary,dictionary,phrase,informal,1.0,llm_enriched,wiktionary_cc_by_sa_4_0,en,en,نعم، أخشى أن هذا هو الحال.,True,semi_literal_possible,transparent,informal,general,easy,"‘Is the event still happening tomorrow?’ ‘’Fraid so, even despite the rain.’",هل سيقام الحدث غداً؟ أخشى ذلك، حتى مع المطر.,"Yes, the event will still occur despite the rain.",نعم، سيقام الحدث رغم المطر.,True,idiomatic,1,gpt-4.1-mini-2025-04-14,v2_4idiomatic_4literal,pending
