idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language
syn_32858c2b9c11c66a,ghost tag,ghost tag,,"To mention or tag someone who won't or can't respond, often to provoke or highlight absence.",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_1b47953ed3abfd70,lurker’s parade,lurker’s parade,,A situation where many people observe silently without engaging or participating.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_1ea788b409c19b4b,echo diving,echo diving,,Deliberately posting content that echoes popular opinion to gain quick approval or likes.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_0593d60a40731e80,scroll trap,scroll trap,,Content or format designed to keep users endlessly scrolling without realizing time passing.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_edf39beec10c71fe,cancel echo,cancel echo,,The repetitive backlash or ripple effect after someone is publicly cancelled online.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_a0c5728c7f907be9,profile puff,profile puff,,Exaggerating one’s online presence or qualities to appear more impressive.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_7dd028f84fe07466,thread diving,thread diving,,"Deep exploration or engagement in comment threads, often to find hidden context or drama.",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_50885f4f70dabcc6,filter bubble bath,filter bubble bath,,Comforting but isolating experience of only seeing content that reinforces one’s views online.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_8f43b8d935c5fd27,like laundering,like laundering,,Artificial or manipulative behavior to cleanse or boost social media reputation through likes.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_2b782bd46898ab4d,clip chasing,clip chasing,,The practice of creating or sharing short viral clips mainly for gaining fame rather than content value.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_7a8d66578125ecd2,snippet sniping,snippet sniping,,Extracting small pieces of content to discredit or provoke someone online.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_9df556b823740c84,avatar armor,avatar armor,,The defensive persona or mask users craft to hide vulnerability online.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_87bfa588901ad867,reaction raid,reaction raid,,"Sudden surge of emotional responses flooding a post, often coordinated or intense.",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_df98ec14c0c6da9e,comment cage,comment cage,,A hostile or restrictive comment section where free expression feels trapped or attacked.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_c8d62ad2f9b3458c,share spill,share spill,,Unintended or excessive sharing of sensitive or personal information online.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_e3df3cf5a1e86a1d,post phantom,post phantom,,"Content that appears and disappears quickly or leaves a vague trace, hard to grasp or respond to.",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
syn_76758a652cd902c9,thread freeze,thread freeze,,When a conversation or comment thread suddenly stops engaging or updating.,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en
